TF,Cell type,Genome,GEO ID
ARID1A,Hep G2,hg19,"['GSM1704011', 'GSM1704012']"
ARID1A,LNCAP,hg19,"['GSM2480804', 'GSM2480805', 'GSM2480806', 'GSM2480807']"
ARID1A,MCF-7,hg19,"['GSM3499033', 'GSM3499034', 'GSM3499035', 'GSM3499036', 'GSM3499037', 'GSM3499038', 'GSM3499039', 'GSM3499040', 'GSM3499041', 'GSM3499042', 'GSM3499043', 'GSM3499044', 'GSM3499045', 'GSM3499046', 'GSM3499047', 'GSM3499048', 'GSM3499049', 'GSM3499050']"
ARID1A,RMG-I,hg19,"['GSM2803052', 'GSM2803053', 'GSM3392689']"
ARID1A,Unclassified,hg19,"['-', '-', '-', '-', '-', '-', '-']"
ARID1B,Hep G2,hg19,"['GSM1704013', 'GSM1704014']"
ARID2,786-O,hg19,"['GSM2746607', 'GSM2746608', 'GSM2746609']"
ARID2,Aska,hg19,"['GSM2887567', 'GSM2887568']"
ARID2,Hep G2,hg19,"['GSM1704015', 'GSM1704016']"
ARID2,MCF-7,hg19,"['GSM3499182', 'GSM3499183', 'GSM3499184', 'GSM3499185', 'GSM3499186', 'GSM3499187', 'GSM3499188', 'GSM3499189', 'GSM3499190', 'GSM3499191', 'GSM3499192', 'GSM3499193', 'GSM3499194', 'GSM3499195', 'GSM3499196', 'GSM3499197', 'GSM3499198', 'GSM3499199']"
ARID2,Small cell ovary carcinoma,hg19,"['GSM3307885', 'GSM3307895', 'GSM3307898', 'GSM3307905']"
ARID3A,Hep G2,hg19,['GSM935275']
ARID3A,K-562,hg19,['GSM935336']
ARID3B,OECM-1,hg19,"['GSM1626088', 'GSM1626089']"
ARID4B,PC-3,hg19,"['GSM3245110', 'GSM3245111']"
ARID5B,Jurkat,hg19,['GSM2570506']
ARNT,786-O,hg19,"['GSM2585468', 'GSM2585476', 'GSM1642761', 'GSM1642765', 'GSM1642768']"
ARNT,HKC8,hg19,"['GSM3417782', 'GSM3417783', 'GSM3417789', 'GSM3417790', 'GSM3417796', 'GSM3417797', 'GSM3417803', 'GSM3417804', 'GSM3417812', 'GSM3417815', 'GSM3417817', 'GSM3417819', 'GSM3417822', 'GSM3417824']"
ARNT,HUVEC,hg19,['GSM2390643']
ARNT,Hep G2,hg19,"['GSM3417838', 'GSM3417839']"
ARNT,Kidney cancer cells,hg19,"['GSM3417832', 'GSM3417833']"
ARNT,MCF-7,hg19,['GSM1024800']
ARNT,OS-RC-2,hg19,"['GSM2585482', 'GSM2585487']"
ARNT,T-47D,hg19,['GSM1462476']
ARNT2,LoVo,hg19,['GSM1239447']
ARNTL,786-O,hg19,['GSM856791']
ARNTL,Glioma stem cells,hg19,"['GSM3982994', 'GSM3982995', 'GSM3982997', 'GSM3982998']"
ARNTL,LoVo,hg19,"['GSM1239383', 'GSM1239489']"
ARNTL,NOMO-1,hg19,"['GSM1816437', 'GSM1816438', 'GSM1816441', 'GSM1816445', 'GSM1816446']"
ARNTL,Neural Stem Cells,hg19,"['GSM3983000', 'GSM3983001', 'GSM3983003', 'GSM3983004']"
ARNTL,Renal tubular cells,hg19,['GSM2698834']
ARNTL,THP-1,hg19,"['GSM1816452', 'GSM1816455']"
ARNTL,U2OS,hg19,"['GSM1692868', 'GSM1920690', 'GSM1920691', 'GSM2257666', 'GSM2257667', 'GSM2257668', 'GSM2257669', 'GSM1081127']"
ARNTL2,LoVo,hg19,['GSM1239549']
ARP5,CY1838,sacCer3,['GSM1590459']
ARP5,MJE7,sacCer3,"['GSM2519984', 'GSM2519987', 'GSM2652686', 'GSM2652689']"
ARRB1,C4-2,hg19,"['GSM1340252', 'GSM1340253']"
ARRB1,Prostate,hg19,['GSM1340263']
ASCL1,Dermal fibroblast,hg19,['GSM1187229']
ASCL1,KELLY,hg19,['GSM3462607']
ASCL1,Keratinocytes,hg19,['GSM1187231']
ASCL1,NCI-H128,hg19,['GSM1700637']
ASCL1,NCI-H2107,hg19,['GSM1700638']
ASCL1,NCI-H889,hg19,['GSM1700639']
ASCL1,Unclassified,hg19,"['GSM2335528', 'GSM2335529', 'GSM2335530', 'GSM2335531', 'GSM2335532', 'GSM2335533', 'GSM2335534', 'GSM2335535']"
ASF1A,HeLa,hg19,['GSM1095933']
ASH1L,K-562,hg19,"['GSM1975005', 'GSM1975006']"
ASH1L,LoVo,hg19,['GSM1239550']
ASH1L,MV-4-11,hg19,['GSM1897373']
ASH2L,VCaP,hg19,"['GSM1489926', 'GSM1489927']"
ASUN,HeLa,hg19,['GSM1482883']
ASUN,Monocytes,hg19,['GSM3109631']
ASXL1,293,hg19,['GSM1250374']
ASXL2,SKNO-1,hg19,['GSM2232729']
ATF1,K-562,hg19,['GSM935340']
ATF2,GM12878,hg19,['GSM1010780']
ATF2,LoVo,hg19,['GSM1239448']
ATF2,Macrophages,hg19,['GSM2135484']
ATF2,hESC H1,hg19,['GSM1010742']
ATF3,A549,hg19,['GSM1010789']
ATF3,CS1AN,hg19,"['GSM2333812', 'GSM2333813', 'GSM2333814', 'GSM2333815']"
ATF3,Dermal fibroblast,hg19,"['GSM2151902', 'GSM2151904']"
ATF3,GBM1-HAM,hg19,['GSM838675']
ATF3,GM12878,hg19,['GSM803508']
ATF3,HCT 116,hg19,"['GSM1917770', 'GSM1917771', 'GSM1917774', 'GSM1010757']"
ATF3,Hep G2,hg19,['GSM803503']
ATF3,K-562,hg19,"['GSM803380', 'GSM935391']"
ATF3,hESC H1,hg19,['GSM803512']
ATF4,DLD-1,hg19,"['GSM3289764', 'GSM3289765', 'GSM3289766', 'GSM3289767']"
ATF4,HAP1,hg19,"['GSM1697346', 'GSM1697347', 'GSM1697348']"
ATF4,Mesenchymal stem cells,hg19,"['GSM1684638', 'GSM1684644', 'GSM1684648', 'GSM1684649']"
ATF4,Prefrontal Cortex,hg19,"['GSM3692149', 'GSM3692150', 'GSM3692151', 'GSM3692152', 'GSM3692153', 'GSM3692154', 'GSM3692155', 'GSM3692156', 'GSM3692157', 'GSM3692158', 'GSM3692159', 'GSM3692160']"
ATF6,LoVo,hg19,['GSM1239449']
ATF7,LoVo,hg19,"['GSM1239384', 'GSM1239490']"
ATF7IP,WM262,hg19,['GSM697629']
ATOH1,MKL-1,hg19,"['GSM3613345', 'GSM3613346']"
ATR,HCT 116,hg19,"['GSM2907063', 'GSM2907066']"
ATRX,CHLA-90,hg19,['GSM3389350']
ATRX,Erythroblasts,hg19,['GSM551136']
ATRX,K-562,hg19,"['GSM1821904', 'GSM1821905']"
ATRX,LAN-6,hg19,['GSM2066632']
ATRX,SK-N-FI,hg19,['GSM3389345']
ATRX,SK-N-MM,hg19,['GSM3389347']
ATXN7L3,HCT 116,hg19,"['GSM3446297', 'GSM3446298', 'GSM3446299', 'GSM3446300']"
AUTS2,293,hg19,['GSM1479212']
Abd-B,3rd instar,dm3,"['GSM1209200', 'GSM1209201', 'GSM1217649', 'GSM1217650', 'GSM1217653', 'GSM1217654']"
Abd-B,Kc167,dm3,"['GSM1708981', 'GSM1708982', 'GSM1708983', 'GSM1708984']"
Acaa2,Unclassified,mm9,"['GSM3374091', 'GSM3374092']"
Acf,0-12h embryos,dm3,"['GSM1644830', 'GSM1644831', 'GSM1644832', 'GSM1644833', 'GSM1644834', 'GSM1644835', 'GSM1644836', 'GSM1644837', 'GSM1644838', 'GSM1644839', 'GSM1644840', 'GSM1644841', 'GSM1644842']"
Acss2,CAD,mm9,"['GSM2039012', 'GSM2039013', 'GSM2039019', 'GSM2039020']"
Acss2,Hippocampus,mm9,['GSM2415912']
Act5C,Ovary,dm3,"['GSM3229953', 'GSM3229957', 'GSM3229961', 'GSM3229962', 'GSM3229963', 'GSM3229964']"
Actb,MEF,mm9,['GSM1679030']
Ada2b,1-3h embryos,dm3,"['GSM2616877', 'GSM2616879', 'GSM2616881', 'GSM2616883', 'GSM2771636', 'GSM2771637']"
Adenine N6-methylation,Adult,ce10,['GSM1688840']
Adf1,S2,dm3,"['GSM1295978', 'GSM1295979']"
Adf1,S2R+,dm3,"['GSM1160145', 'GSM1160146']"
Adnp,Embryonic Stem Cells,mm9,"['GSM2582357', 'GSM2582358', 'GSM2582359']"
Aebp2,Embryonic Stem Cells,mm9,"['GSM2192639', 'GSM2192644']"
Aff3,Embryonic Stem Cells,mm9,"['GSM2286873', 'GSM2286874', 'GSM1572281', 'GSM1572282', 'GSM1572283', 'GSM1572284', 'GSM1572285', 'GSM1572286', 'GSM1572287', 'GSM1572288']"
Aff3,MEF,mm9,"['GSM1572289', 'GSM1572290']"
Aff4,Th1 Cells,mm9,"['GSM1961559', 'GSM1961560']"
Aff4,Unclassified,mm9,"['GSM1961551', 'GSM1961552']"
Ahcy,Embryonic Stem Cells,mm9,"['GSM3262022', 'GSM3262023']"
Ahr,Dendritic Cells,mm9,"['GSM881048', 'GSM881049', 'GSM881050', 'GSM881051']"
Ahr,Keratinocytes,mm9,"['GSM1862851', 'GSM1862852', 'GSM1862853']"
Ahr,Liver,mm9,"['GSM2573805', 'GSM2573806', 'GSM2573807', 'GSM2573808', 'GSM2573809', 'GSM2574037', 'GSM2574038', 'GSM2574039', 'GSM2574040', 'GSM2574041']"
Ahr,Liver,rn6,"['GSM2983919', 'GSM2983920', 'GSM2983921', 'GSM2983922', 'GSM2983923']"
Aicda,B-Lymphocytes,mm9,"['GSM594829', 'GSM807107', 'GSM851558']"
Aire,Thymus,mm9,"['GSM2433220', 'GSM2433221']"
Anp32e,Heart,mm9,"['GSM2806125', 'GSM2806126']"
Ar,Epididymis,mm9,"['GSM1146483', 'GSM1146484', 'GSM1146485', 'GSM1238905', 'GSM1238906', 'GSM1238907', 'GSM1238908', 'GSM3427006', 'GSM3427007', 'GSM3427008', 'GSM3427009']"
Ar,Kidney,mm9,"['GSM1146473', 'GSM1146474', 'GSM1146475']"
Ar,Prostate,mm9,"['GSM1145302', 'GSM1145307', 'GSM1145312', 'GSM1145317', 'GSM1146459', 'GSM1146460', 'GSM1146461', 'GSM1146462', 'GSM1146463', 'GSM1146464', 'GSM1276800', 'GSM1276801']"
Ar,Prostate organoids,mm9,"['GSM3687426', 'GSM3687427', 'GSM3687431', 'GSM3687432', 'GSM3687436', 'GSM3687437', 'GSM3687441', 'GSM3687442']"
Ar,Prostatic Neoplasms,mm9,"['GSM1530761', 'GSM1530762', 'GSM1530763', 'GSM1530764']"
Ar,Sperm,mm9,"['GSM3262878', 'GSM3262879']"
Ar,Urogenital sinus,rn6,"['GSM3230770', 'GSM3230771', 'GSM3230772', 'GSM3230773']"
Arid1a,Brown adipocytes,mm9,"['GSM1650062', 'GSM1650063']"
Arid1a,Embryonic Stem Cells,mm9,"['GSM3318684', 'GSM3318685']"
Arid1a,Intestinal spheroid,mm9,['GSM3442856']
Arid3a,Embryonic Stem Cells,mm9,"['GSM2412028', 'GSM1370509', 'GSM1370510']"
Arid3a,Trophoblast stem cells,mm9,"['GSM2412035', 'GSM3019271']"
Arid4b,Testis,mm9,['GSM2251617']
Arnt,Hippocampal neurons,rn6,"['GSM3638950', 'GSM3638951', 'GSM3638962', 'GSM3638963']"
Arnt2,Hippocampal neurons,rn6,"['GSM3638952', 'GSM3638953', 'GSM3638964', 'GSM3638965']"
Arntl,Beta-TC-6,mm9,['GSM1824086']
Arntl,Heart,mm9,"['GSM3003981', 'GSM3003983', 'GSM3003985']"
Arntl,Kidney,mm9,"['GSM3003975', 'GSM3003977', 'GSM3003979']"
Arntl,Liver,mm9,"['GSM654880', 'GSM654881', 'GSM654882', 'GSM654883', 'GSM654884', 'GSM654885', 'GSM654886', 'GSM654887', 'GSM654888', 'GSM654889', 'GSM654890', 'GSM654891', 'GSM904672', 'GSM3003969', 'GSM3003971', 'GSM3003973', 'GSM1301671', 'GSM1301672', 'GSM3301807', 'GSM3301808', 'GSM3301809', 'GSM3301810', 'GSM3301826', 'GSM3301828', 'GSM3301830', 'GSM3301832', 'GSM3885064', 'GSM3885065', 'GSM3885066', 'GSM3885067', 'GSM3885068', 'GSM3885069', 'GSM3885070', 'GSM3885071', 'GSM3885072']"
Arntl,MEF,mm9,"['GSM2045177', 'GSM2450976', 'GSM2450977', 'GSM2450978', 'GSM2450979']"
Arntl,gastrocnemius,mm9,"['GSM3212796', 'GSM3212797']"
Art1,Unclassified,mm9,"['GSM1918423', 'GSM1918424', 'GSM1918428', 'GSM1918429', 'GSM1918433', 'GSM1918434']"
Ascl1,Embryoid Bodies,mm9,"['GSM3136828', 'GSM3136829', 'GSM3136830', 'GSM3136839', 'GSM3136840']"
Ascl1,Embryonic Stem Cells,mm9,['GSM2576033']
Ascl1,Induced neural progenitors,mm9,['GSM1187228']
Ascl1,MEF,mm9,"['GSM1187221', 'GSM1187223', 'GSM1187225']"
Ascl1,Neural progenitor cells,mm9,['GSM1175113']
Ascl1,Neural tube,mm9,['GSM1057594']
